ISO3,Country,region,sub-region,Latitude,Longitude,Life Expectancy at Birth (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
EGY,Egypt,Africa,Northern Africa,26.820553,30.802498,70.2207,9.573026174,11731.69056,,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503
ERI,Eritrea,Africa,Sub-Saharan Africa,15.179384,39.782334,66.5358,4.8872352,1728.742667,,,,,,,,,,,
ESP,Spain,Europe,Southern Europe,40.463667,-3.74922,83.01,10.60540009,38353.60164,22.14397,23.90812,21.26914,22.84977,22.54773,22.14727,21.86766,19.10714,19.10714,19.31195,19.31195
EST,Estonia,Europe,Northern Europe,58.595272,25.013607,77.1436,13.54843044,38048.26372,17.37153,18.59338,18.62724,20.99342,20.99342,18.73339,15.46027,14.34588,14.34588,14.98963,14.98963
ETH,Ethiopia,Africa,Sub-Saharan Africa,9.145,40.489673,64.9748,3.201520681,2361.069604,9.49739,9.49739,9.49739,9.49739,9.49739,13.3515,13.3515,13.3515,12.07582,12.07582,12.07582
FIN,Finland,Europe,Northern Europe,61.92411,25.748151,82.0381,12.87362003,49452.16672,10.77941,10.77818,10.56616,10.38763,10.01719,10.50979,10.43909,10.33787,10.33787,10.48338,10.48338
FJI,Fiji,Oceania,Melanesia,-16.578193,179.414413,67.114,10.92154799,9980.110866,22.6,22.6,22.6,,,,,,,,
FRA,France,Europe,Western Europe,46.227638,2.213749,82.4988,11.61005974,45937.05273,14.17367,13.94993,13.46136,13.65268,13.65268,13.58492,14.3716,13.36567,13.36567,13.91798,13.91798
FSM,Micronesia,Oceania,Micronesia,7.425554,150.550812,70.71,7.804956,3696.173945,,,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943
GAB,Gabon,Africa,Sub-Saharan Africa,-0.803689,11.609444,65.821,9.436,13366.93455,,20.4113,20.4113,20.4113,20.4113,20.4113,21.2138981,21.2138981,21.2138981,21.2138981,21.2138981
GBR,United Kingdom,Europe,Northern Europe,55.378051,-3.435973,80.7422,13.4061203,45224.76564,18.76843,17.81109,16.20068,16.32592,16.32592,17.09783,16.74895,17.96959,17.96959,17.96959,17.96959
GEO,Georgia,Asia,Western Asia,42.315407,43.356892,71.694,12.82221985,14664.16825,32.13,32.13,25.95,25.95,25.95,24.85,24.85,24.85,24.85,24.85,24.85
GHA,Ghana,Africa,Sub-Saharan Africa,7.946527,-1.023194,63.7954,8.329886695,5744.504017,22.40757,22.40757,22.40757,25.31453,25.31453,25.31453,24.14249,24.14249,24.14249,24.14249,24.14249
GIN,Guinea,Africa,Sub-Saharan Africa,9.945587,-9.696645,58.8922,2.202125952,2480.887182,,17.05626,17.05626,17.05626,17.05626,17.05626,17.05626,17.83777,17.83777,17.83777,17.83777
