ISO3,Country,region,sub-region,Latitude,Longitude,Life Expectancy at Birth (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
SEN,Senegal,Africa,Sub-Saharan Africa,14.497401,-14.452362,67.0926,2.937938258,3344.311825,26.382,26.382,26.382,26.382,26.382,26.382,26.382,23.384,23.384,23.384,23.384
SGP,Singapore,Asia,South-eastern Asia,1.352083,103.819836,82.7545,11.92488003,90918.64471,24.56767753,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064
SLB,Solomon Islands,Oceania,Melanesia,-9.64571,160.156194,70.3477,5.711848,2481.511362,,,,,,,,,,,
SLE,Sierra Leone,Africa,Sub-Saharan Africa,8.460555,-11.779889,60.0624,4.576081285,1621.512579,17.69402,17.69402,19.22054,19.22054,19.22054,19.22054,17.73822,17.73822,19.85569,19.85569,19.85569
SLV,El Salvador,Americas,Latin America and the Caribbean,13.794185,-88.89653,70.7479,7.150929928,8295.665889,26.295309,25.859547,27.609213,25.422641,24.293636,23.937419,21.811224,22.43198,22.481244,22.481244,22.481244
SMR,San Marino,Europe,Southern Europe,43.94236,12.457777,80.8786,10.80146027,52653.82534,,,,,,,,,,,
SOM,Somalia,Africa,Sub-Saharan Africa,5.152149,46.199616,55.2803,9.306864107,1017.96785,,,,,,24.35,24.35,24.35,24.35,24.35,24.35
SRB,Serbia,Europe,Southern Europe,44.016521,21.005859,74.1923,11.36987019,19123.02747,,,23.68371,24.3569,23.37078,23.18535,28.08094,23.65848,23.65848,18.49592,18.49592
SSD,South Sudan,Africa,Sub-Saharan Africa,8.0,30.0,54.9752,5.726140022,767.787,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,0.18636,6.613081,67.5912,6.215599435,4021.350815,,,,14.89161,14.89161,14.89161,14.89161,14.89161,26.209,26.209,26.209
SUR,Suriname,Americas,Latin America and the Caribbean,3.919305,-56.027783,70.2743,9.77680063,12672.20033,37.32015,37.32015,37.32015,37.32015,37.32015,,,46.69631,46.69631,46.69631,46.69631
SVK,Slovakia,Europe,Eastern Europe,48.669026,19.699024,74.9101,12.91141987,30690.48552,11.45688,11.30804,11.15959,13.24679,13.24679,12.31767,11.33007,11.33007,11.33007,9.06554,9.06554
SVN,Slovenia,Europe,Southern Europe,46.151241,14.995463,80.6904,12.80368042,39746.01987,10.61874,10.98858,11.33414,11.81318,11.17606,10.95858,9.13394,8.59101,8.59101,8.30524,8.30524
SWE,Sweden,Europe,Northern Europe,60.128161,18.643501,82.9833,12.60972023,54489.37401,12.3895,13.06043,12.72093,13.78127,13.78127,13.53804,13.01092,12.58113,12.58113,12.77164,12.77164
SWZ,Eswatini,Africa,Sub-Saharan Africa,-26.522503,31.465866,57.0657,5.596,7678.591873,37.55508,37.55508,37.55508,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9
SYC,Seychelles,Africa,Sub-Saharan Africa,-4.679574,55.491977,71.2945,10.28312,25830.61775,,,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638
SYR,Syrian Arab Republic,Asia,Western Asia,34.802075,38.996815,72.0627,5.1,4191.933893,18.31698,,,,,,,,,,
TCD,Chad,Africa,Sub-Saharan Africa,15.454166,18.732207,52.5254,2.57377421,1364.169417,30.72892,30.72892,30.72892,30.72892,28.4,28.4,28.4,28.4,26.50219,26.50219,26.50219
TGO,Togo,Africa,Sub-Saharan Africa,8.619543,0.824782,61.6194,5.016807367,2166.619062,23.51791,23.51791,23.51791,25.10903,25.10903,25.10903,26.85326,26.85326,26.85326,26.85326,26.85326
THA,Thailand,Asia,South-eastern Asia,15.870032,100.992541,78.7154,8.697119713,17030.15352,,,23.81426,23.81426,23.81426,23.81426,23.81426,23.81426,18.7899,18.7899,18.7899
TJK,Tajikistan,Asia,Central Asia,38.861034,71.276093,71.5942,11.3333938,4547.742427,,12.18062,12.18062,12.18062,12.18062,12.18062,14.4674,14.4674,14.4674,14.4674,14.4674
TKM,Turkmenistan,Asia,Central Asia,38.969719,59.556278,69.2644,11.26139,13020.7155,24.98809,,,,,26.8,26.8,26.8,26.20491,26.20491,26.20491
TLS,Timor-Leste,Asia,South-eastern Asia,-8.874217,125.727539,67.7369,5.43679,4460.869435,17.81977,17.81977,17.81977,17.81977,17.81977,13.58745,13.58745,13.58745,13.58745,13.58745,13.58745
TON,Tonga,Oceania,Polynesia,-21.178986,-175.198242,70.9857,11.392594,6822.03125,,,,,,,,,18.24092,18.24092,18.24092
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,10.691803,-61.222503,72.9709,11.61062419,23392.02084,21.94,,,,,,,,,,
TUN,Tunisia,Africa,Northern Africa,33.886917,9.537499,73.7719,7.431598614,10257.54477,,18.85424,18.85424,18.85424,18.85424,18.85424,18.85424,16.88955,16.88955,16.88955,16.88955
TUR,Turkey,Asia,Western Asia,38.963745,35.243322,76.0324,8.63313961,31032.80106,23.09223585,23.1446627,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288
TUV,Tuvalu,Oceania,Polynesia,-7.109535,177.64933,64.5466,10.57310772,6351.435899,23.35938341,23.35938341,23.35938341,23.35938341,23.35938341,,,,,22.94714,22.94714
TZA,Tanzania,Africa,Sub-Saharan Africa,-6.369028,34.888822,66.2007,6.37289871,2664.329096,20.88408,22.72846,22.72846,22.72846,22.72846,22.4,22.4,22.4,22.4,22.4,22.4
UGA,Uganda,Africa,Sub-Saharan Africa,1.373333,32.290275,62.7048,5.730941566,2181.43651,,23.29338571,23.29338571,23.29338571,23.29338571,23.29338571,24.94038796,24.94038796,24.94038796,24.94038796,24.94038796
UKR,Ukraine,Europe,Eastern Europe,48.379433,31.16558,71.624,11.13142043,13255.50977,8.854335766,8.960416954,8.884698945,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702
URY,Uruguay,Americas,Latin America and the Caribbean,-32.522779,-55.765835,75.4356,8.982549667,21268.88122,26.32497,24.063041,24.660035,24.294552,24.352623,23.698562,23.357915,23.545822,23.543408,23.543408,23.543408
USA,United States,Americas,Northern America,37.09024,-95.712891,77.1982,13.68342972,64765.21509,24.91,24.964,24.645,26.434,25.892,25.817,26.285,26.02,26.002,23.222,23.222
UZB,Uzbekistan,Asia,Central Asia,41.377491,64.585262,70.8616,11.89558983,7916.785725,20.07272,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,12.984305,-61.287228,69.6291,10.83343029,11961.08792,,,,,,,,,,,
VEN,Venezuela,Americas,Latin America and the Caribbean,6.42375,-66.58973,70.5536,11.10727736,4810.882621,20.1,21.8,21.8,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
VNM,Viet Nam,Asia,South-eastern Asia,14.058324,108.277199,73.6181,8.370280266,7867.371345,21.9935,21.9935,21.43403,21.43403,21.43403,21.43403,21.43403,21.43403,21.43403,14.60094,14.60094
VUT,Vanuatu,Oceania,Melanesia,-15.376706,166.959158,70.449,7.064846,3085.411633,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999
WSM,Samoa,Oceania,Polynesia,-13.759029,-172.104629,72.7675,11.4038,5307.953374,,,,,,,,,,21.87008,21.87008
YEM,Yemen,Asia,Western Asia,15.354722,44.206667,63.7534,3.2,1314.270189,20.57543,20.57543,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323
ZAF,South Africa,Africa,Sub-Saharan Africa,-30.559482,22.937506,62.341,11.37316036,12948.37325,57.268,54.705,54.705,54.705,56.124,56.124,56.996,56.996,56.996,56.996,56.996
ZMB,Zambia,Africa,Sub-Saharan Africa,-13.133897,27.849332,61.2234,7.187091494,3217.767739,42.62731,42.62731,42.62731,48.55829,48.55829,48.55829,48.55829,44.84022,44.84022,44.84022,44.84022
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,-19.015438,29.154857,59.2531,8.710908501,3809.887158,35.7758,35.7758,35.7758,35.7758,27.01627,27.01627,27.01627,27.01627,28.76901,28.76901,28.76901
